C4-2_PROSTATE
3
122929	123877	124303	118263	116751	84842	40469	18102	5511	4307
116831	130298	122657	116292	103428	61366	17359	7571	5415	4576
115177	121962	117148	100957	55518	25321	5183	3465	4509	3852
104076	93655	68437	28609	11448	5500	3751	3557	4412	4970
17540	19302	8470	5064	4684	3314	3400	3701	4207	4631
9271	5765	4532	4346	3601	2972	3442	3928	4267	4663
123417	126170	125367	130157	122530	88171	36880	16830	5410	4776
135145	123587	119026	123540	112817	63810	17646	8719	5435	4205
118150	132355	124161	114800	54447	17607	4829	2945	3733	4876
98899	94012	65500	34565	8574	4863	3351	3080	3741	4060
19861	21045	7323	5540	4791	3397	3958	3423	4885	4978
7242	5501	3279	4136	4301	3450	3342	4072	3883	5191
129304	138870	136470	129087	138445	89684	43069	17647	6413	5243
127734	129316	128177	127728	111909	68378	16708	6557	4268	4850
123788	138785	140144	109828	60529	20983	4559	3542	3378	3806
92136	101913	63660	28916	9582	5076	3734	3335	4210	4764
14040	20735	7220	6538	5176	3495	3730	4036	4130	4175
5908	5312	3826	3799	4153	4523	3465	4367	3985	5262
